id,value,color
pontish.i am one with god.god is word.i am word i am god.all is one one is all.we are all one.every moment is an opportunity,,orange
pontish.i am one with god.god is word.i am word i am god.all is one one is all.we are all one.all is one one is all,,orange
pontish.i am one with god.god is word.i am word i am god.all is one one is all.we are all one.everything is possible,,orange
pontish.i am one with god.god is word.thats a gift given to everyone.we are one in the same thing,,orange
pontish.i am one with god.god is word.thats a gift given to everyone.be the partnership with them,,orange
pontish.i am one with god.god is word.thats a gift given to everyone.i am like you,,orange
pontish.i am one with god.god is word.thats a gift given to everyone.partnership is a oneness,,yellow
pontish.i am one with god.god is word.thats a gift given to everyone.its a way of life,,yellow
pontish.i am one with god.god is word.thats a gift given to everyone.its a way of life.thats the privilege,,yellow
pontish.i am one with god.god is word.thats a gift given to everyone.its a way of life.thats the privilege.their outcome is my locus of attention,,yellow
pontish.i am one with god.god is word.thats a gift given to everyone.its a way of life.thats the privilege.bring yourself to the conversation,,yellow
pontish.i am one with god.god is word.thats a gift given to everyone.its a way of life.thats the privilege.the whole thing is mine,,yellow
pontish.i am one with god.god is word.thats a gift given to everyone.its a way of life.thats the privilege.im insisting for them,,yellow
pontish.i am one with god.god is word.thats a gift given to everyone.its a way of life.thats the privilege.im always the same,,yellow
pontish.i am one with god.god is word.thats a gift given to everyone.its a way of life.thats the privilege.everything is the same,,yellow
pontish.i am one with god.god is word.thats a gift given to everyone.its a way of life.thats the privilege.do a lot without doing anything,,yellow
pontish.i am one with god.god is word.thats a gift given to everyone.its a way of life.thats the privilege.i dont have to do anything,,yellow
pontish.i am one with god.god is word.thats a gift given to everyone.its a way of life.thats the privilege.there is nothing they have to do,,yellow
pontish.i am one with god.gifting yourself is the ultimate intent.create the realtionship with your intrusion,,yellow
pontish.i am one with god.gifting yourself is the ultimate intent.share your view,,yellow
pontish.i am one with god.gifting yourself is the ultimate intent.have them see what you see,,yellow
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the conversation,,yellow
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the partnership,,yellow
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the partnership.stay there,,yellow
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the partnership.be there,,yellow
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the partnership.be one,,yellow
pontish.i am one with god.i am one with the universe one with the world.every moment is an opportunity,,yellow
pontish.i am one with god.i am one with the universe one with the world.every moment is an opportunity.cause connection all the time,,yellow
pontish.i am one with god.i am one with the universe one with the world.every moment is an opportunity.the best way to understand someone is to be them,,yellow
pontish.i am one with god.i am one with the universe one with the world.every moment is an opportunity.the best way to understand someone is to be them.be them,,yellow
pontish.i am one with god.i am one with the universe one with the world.every moment is an opportunity.the best way to understand someone is to be them.be their word,,green
pontish.i am one with god.i am one with the universe one with the world.every moment is an opportunity.the best way to understand someone is to be them.imagine it,,green
pontish.i am one with god.i am one with the universe one with the world.every moment is an opportunity.the best way to understand someone is to be them.be with them being with it,,green
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time,,green
pontish.i am one with god.i am god on earth and so is everyone else.transform yourself as you speak,,green
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.listen to a system of thinking,,green
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.im gathering clues,,green
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.there is so much to learn,,green
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.you can do this,,green
pontish.i am one with god.i am god on earth and so is everyone else.transform yourself as you speak.youre training for life,,green
pontish.i am one with god.i am god on earth and so is everyone else.transform yourself as you speak.be willing to get out of your own skin,,green
pontish.i am one with god.i am god on earth and so is everyone else.transform yourself as you speak.youre learning a lot more than you think,,green
pontish.i am one with god.i matter.i make a difference.i am vigorous,,green
pontish.i am one with god.i matter.i make a difference.im the source,,green
pontish.i am one with god.i matter.i make a difference.im always the source of things good or bad,,green
pontish.i am one with god.i matter.i make a difference.when you speak the speaking changes you,,green
pontish.i am one with god.i matter.i make a difference.the world changes and you change with it,,green
pontish.i am one with god.i matter.i make a difference.i make sure what i say is for them,,green
pontish.i am one with god.i matter.i make a difference.it needs to be for the benefit of the other,,green
pontish.i am one with god.i matter.i make a difference.its not methodical,,green
pontish.i am one with god.i matter.i make a difference.its all happening at the same time,,blue
pontish.i am one with god.i am one with god.i am one with everyone and everything.be free in life,,blue
pontish.i am one with god.i am one with god.i am one with everyone and everything.be free in life.good thinking cannot happen when there isnt peace,,blue
pontish.i am one with god.i am one with god.i am one with everyone and everything.be free in life.make sure you are free,,blue
pontish.i am one with god.i am one with god.i am one with everyone and everything.be free in life.freedom is a guage for my expression,,blue
pontish.i am one with god.i am one with god.i am one with everyone and everything.be free in life.keep sharing until there is freedom,,blue
pontish.i am one with god.i am one with god.i am one with everyone and everything.be free in life.say what you want to say,,blue
pontish.i am one with god.i am one with god.i am one with everyone and everything.be free in life.i can make the most difference i want to make,,blue
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.learning new things is an adventure that equals joy,,blue
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.learning new things is an adventure that equals joy.be patient,,blue
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.learning new things is an adventure that equals joy.learn something from a different perspective,,blue
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.learning new things is an adventure that equals joy.teach me how to do it,,blue
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.share a piece of yourself,,blue
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.master something turn around and teach it,,blue
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.give them a part of yourself,,blue
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.give them a piece of your heart,,blue
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.pass on the best you have to offer,,blue
pontish.i am one with god.i am god on earth and so is everyone else.im learning from everybody all the time.create something beautiful,,blue
pontish.i am one with god.i matter.life is empty and meaningless,,blue
pontish.i am one with god.i matter.life is empty and meaningless.the beauty of life is i can bring meaning to it,,blue
pontish.i am one with god.i matter.life is empty and meaningless.the beauty of life is i can bring meaning to it.why wouldnt i bring meaning to it,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.the beauty of life is i can bring meaning to it.why wouldnt i bring meaning to it.its a game,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.the beauty of life is i can bring meaning to it.why wouldnt i bring meaning to it.there is no stopping,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.the beauty of life is i can bring meaning to it.why wouldnt i bring meaning to it.put your winning hat on,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game.there is not stopping,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game.at stake is a choice,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game.i have to have it,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game.im going to have it,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game.i can switch back and forth,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game.be willing to lose,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game.i dont have to have it,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game.play it all the way out,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game.play it all the way out.i could fail and still be okay,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game.im willing not to have it,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game.im willing to lose,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game.i have to give myself space,,indigo
pontish.i am one with god.i matter.life is empty and meaningless.its a game.be clear that i could fail,,indigo
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the partnership.cause connection all the time,,indigo
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the partnership.cause connection all the time.the best way to get someone is to be them,,indigo
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the partnership.cause connection all the time.the best way to get someone is to be them.first understand their world,,indigo
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the partnership.cause connection all the time.the best way to get someone is to be them.first understand their world.then share an connect,,violet
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the partnership.cause connection all the time.the best way to get someone is to be them.be in the space,,violet
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the partnership.cause connection all the time.the best way to get someone is to be them.be in the space.see where im going next,,violet
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the partnership.cause connection all the time.the best way to get someone is to be them.be in the space.its like drops of water coming to me,,violet
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the partnership.cause connection all the time.the best way to get someone is to be them.i am just being there,,violet
pontish.i am one with god.gifting yourself is the ultimate intent.stay in the partnership.cause connection all the time.the best way to get someone is to be them.be in the space.always some though comes,,violet
pontish.i am one with god.i am gods child.process myself to be one,,violet
pontish.i am one with god.i am gods child.process myself to be one.start with whats in my head,,violet
pontish.i am one with god.i am gods child.process myself to be one.cause being nothing,,violet
pontish.i am one with god.i am gods child.process myself to be one.i have to be a space,,violet
pontish.i am one with god.i am gods child.process myself to be one.move barriers so i can be one,,violet
pontish.i am one with god.i am gods child.process myself to be one.move barriers so i can be one.if i am nothing i can be all of it,,violet
pontish.i am one with god.i am gods child.process myself to be one.move barriers so i can be one.i am the universe,,violet
pontish.i am one with god.i am god on earth and so is everyone else.transform yourself as you speak.be willing to get out of your own skin.never leave,,violet
pontish.i am one with god.i am god on earth and so is everyone else.transform yourself as you speak.be willing to get out of your own skin.i have space for them,,violet
pontish.i am one with god.i am god on earth and so is everyone else.transform yourself as you speak.be willing to get out of your own skin.i dont have to do anything,,violet
pontish.i am one with god.i am god on earth and so is everyone else.transform yourself as you speak.be willing to get out of your own skin.i am safe,,violet
pontish.i am one with god.i am god on earth and so is everyone else.transform yourself as you speak.be willing to get out of your own skin.cause being nothing,,violet
